20170109 001711,45,0.0,0.0,0.0,0.0,26.11,96.0,984.0
20170109 001712,45,0.0,0.0,0.0,0.0,26.11,96.0,984.0
20170109 001713,45,0.0,0.0,0.0,0.0,26.11,96.0,984.0
20170109 001714,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 001715,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011545,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011546,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011547,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011548,45,0.0,0.0,0.0,0.0,26.11,97.0,984.1
20170109 011549,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011550,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011551,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011552,45,0.0,0.0,0.0,0.0,26.11,97.0,984.1
20170109 011553,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011554,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011555,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011556,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011557,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011558,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011559,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011600,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011601,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011602,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011603,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011604,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011605,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011606,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011607,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011608,45,0.0,0.0,0.0,0.0,26.11,97.0,984.1
20170109 011609,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011610,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011611,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011612,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011613,45,0.0,0.0,0.0,0.0,26.11,97.0,984.1
20170109 011614,45,0.0,0.0,0.0,0.0,26.11,97.0,984.1
20170109 011615,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011616,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011617,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011618,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011619,45,0.0,0.0,0.0,0.0,26.11,97.0,983.9
20170109 011620,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
20170109 011621,45,0.0,0.0,0.0,0.0,26.11,97.0,984.0
